Wyniki eksperymentu.

wzrosty liniowe

Shell Sort dla danych: Losowe
n	Sredni Czas [s]	Odchylenie Std.
1000	0.00000000	0.00000000
2000	0.00158306	0.00420174
3000	0.00160548	0.00481644
4000	0.00161203	0.00483609
5000	0.00307759	0.00530982
6000	0.00259740	0.00271973
7000	0.00318531	0.00637072
8000	0.00317657	0.00635367
9000	0.00475493	0.00744631
10000	0.00478484	0.00730968

Shell Sort dla danych: Rosnace
n	Sredni Czas [s]	Odchylenie Std.
1000	0.00000000	0.00000000
2000	0.00000000	0.00000000
3000	0.00061018	0.00074734
4000	0.00057562	0.00088190
5000	0.00116898	0.00350694
6000	0.00078196	0.00177657
7000	0.00000000	0.00000000
8000	0.00161433	0.00484299
9000	0.00000000	0.00000000
10000	0.00261208	0.00459334

Shell Sort dla danych: Malejace
n	Sredni Czas [s]	Odchylenie Std.
1000	0.00000000	0.00000000
2000	0.00157186	0.00471558
3000	0.00000000	0.00000000
4000	0.00020081	0.00060243
5000	0.00000000	0.00000000
6000	0.00030982	0.00061964
7000	0.00000000	0.00000000
8000	0.00000000	0.00000000
9000	0.00160152	0.00480456
10000	0.00060309	0.00092124

Shell Sort dla danych: A-ksztaltne
n	Sredni Czas [s]	Odchylenie Std.
1000	0.00000000	0.00000000
2000	0.00037559	0.00075349
3000	0.00051377	0.00087709
4000	0.00145590	0.00288694
5000	0.00082012	0.00137236
6000	0.00053484	0.00111020
7000	0.00134842	0.00404526
8000	0.00174655	0.00403044
9000	0.00158838	0.00476514
10000	0.00000000	0.00000000

Shell Sort dla danych: V-ksztaltne
n	Sredni Czas [s]	Odchylenie Std.
1000	0.00000000	0.00000000
2000	0.00025963	0.00053285
3000	0.00035426	0.00071613
4000	0.00105955	0.00200476
5000	0.00156980	0.00346168
6000	0.00020091	0.00060273
7000	0.00017398	0.00052194
8000	0.00000000	0.00000000
9000	0.00159743	0.00479229
10000	0.00161118	0.00483354

Heap Sort dla danych: Losowe
n	Sredni Czas [s]	Odchylenie Std.
1000	0.00000000	0.00000000
2000	0.00000000	0.00000000
3000	0.00156781	0.00470343
4000	0.00317971	0.00636028
5000	0.00414756	0.00517664
6000	0.00223604	0.00221302
7000	0.00497215	0.00639163
8000	0.00595694	0.00743681
9000	0.00616496	0.00558289
10000	0.00642851	0.00823869

Heap Sort dla danych: Rosnace
n	Sredni Czas [s]	Odchylenie Std.
1000	0.00000000	0.00000000
2000	0.00000000	0.00000000
3000	0.00000000	0.00000000
4000	0.00158261	0.00474783
5000	0.00158191	0.00474573
6000	0.00321919	0.00643838
7000	0.00318153	0.00636326
8000	0.00800236	0.00800323
9000	0.00483477	0.00614253
10000	0.00359569	0.00623718

Heap Sort dla danych: Malejace
n	Sredni Czas [s]	Odchylenie Std.
1000	0.00156768	0.00470304
2000	0.00161402	0.00484206
3000	0.00257403	0.00458839
4000	0.00322333	0.00644666
5000	0.00319210	0.00638469
6000	0.00298085	0.00598254
7000	0.00321198	0.00642399
8000	0.00634930	0.00715077
9000	0.00474784	0.00725282
10000	0.00481287	0.00735189

Heap Sort dla danych: A-ksztaltne
